"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"뽕2014",2014-12-11,2858000,2858000,1161,1161,5,9,"밀크픽처스","밀크픽처스","청소년관람불가","드라마","공자관","김연수,김기천,이리나,곽한구,권범택,신정섭"
"거짓말 2014",2014-10-22,4751000,4751000,1058,1058,19,35,"(주)케이알씨지","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이민환","윤설희,홍석연"
"무서운 집",2015-07-30,9371000,9371000,1039,1039,5,128,"무서운영화","(주)콘텐츠윙","12세이상관람가","공포(호러)","양병간","구윤희,양병간"
"나는 야한 여자가 좋다 3",2015-03-26,6289000,6289000,1031,1031,20,28,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","김미연","강필선,손가람,이자영,이정환,전예은,조명희,조미연"
"욕망의 독: 중독",2014-09-25,6135000,6135000,988,988,20,31,"(주)매니아22","어뮤즈","청소년관람불가","스릴러,드라마,미스터리","윤여창","홍경인,김선영,이정우,지대한"
"환상",2014-10-30,4693000,4693000,987,987,19,33,"(주)케이알씨지","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이숭환","박재훈,정욱,윤설희"
"나도 때론 포르노그라피의 주인공이고 싶다",2015-11-12,6148000,6148000,961,961,20,45,"(주)피터팬픽쳐스","(주)피터팬픽쳐스","청소년관람불가","멜로/로맨스","장성수","최리호,김영근,서갑숙,한지은"
"전망 좋은 하우스 - 맛있는 섹스",2014-02-20,1160000,1160000,940,940,5,19,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","미스터 엘","윤보리,김지원"
"젊은엄마 : 내 나이가 어때서",2015-05-07,4515000,4515000,916,916,20,20,"골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","드라마","김일종","명계남,채민서,홍서준,박송이,임주현,주인철,이석현,이석현,이인주,안민영"
"7공주 대리운전",2015-05-28,4308000,4308000,894,894,20,26,"(주)유림엔터테인먼트","(주)나우콘텐츠","청소년관람불가","코미디","이재훈","곽진영,차영옥,김동수,윤설희,이철호,임승규"
"오디세오",2015-10-22,1.2e+07,1.2e+07,862,862,8,153,"(주)패뷸러스","(주)패뷸러스","전체관람가","공연","정성복",""
"젊은 엄마 3",2015-09-03,4137000,4137000,820,820,20,33,"골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","채길병","김정아,김하래,채길병,정윤선,박량우,김훈영"
"짓2: 붉은 낙타",2015-08-07,4292000,4292000,807,807,20,36,"㈜리필름","(주)드림팩트엔터테인먼트","청소년관람불가","드라마","노진수","고원,김민기,박시연,박종환,구유리,구정회,최수빈,이재인,유지수,윤주영,윤홍선,노진수"
"마님",2015-08-14,4088000,4088000,791,791,20,24,"골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","멜로/로맨스","김광중","김정아,김지훈,명계남,박치화,정윤선,공지영,양성제,함철훈,황재옥,황재옥,박다혜,김훈영,김훈영"
"앙상블",2014-12-18,6195500,6939500,776,900,1,47,"길스토리","길스토리","전체관람가","드라마,다큐멘터리","이종필","권혁주,성민제,김지윤"
"없던 일",2015-08-20,3799000,3799000,772,772,21,27,"굿픽처스","(주)나우콘텐츠","청소년관람불가","드라마","윤여창","곽민준,최임경,김수현"
"젊은 처제",2015-09-10,4913000,4913000,770,770,21,88,"㈜리필름","주식회사 루믹스미디어","청소년관람불가","멜로/로맨스,코미디","이세종","고원,곽한구,허민영,원성진,노진수"
"착한 여자",2015-03-25,2959000,2959000,708,708,20,26,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","경석호","김정연,주연서,정연,이승현,이연서,이원"
"캠퍼스 S 커플",2014-05-15,4728000,6440000,677,891,1,31,"(주)레알컴퍼니","(주)액티버스엔터테인먼트","청소년관람불가","멜로/로맨스,드라마,코미디","송창용","최필립,문보령,서효명,박란,백재호,조용운,이미애,이새별,이승주,김도윤,김문경"
"하숙집",2015-02-25,3305000,3305000,630,630,20,31,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","경석호","권기하"
"내 친구의 아내",2015-12-03,4493000,4493000,622,622,20,45,"(주)씨네토리","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","탁승오","정태민,탁민"
"전망 좋은 집 2",2015-05-27,3032000,3032000,605,605,20,26,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","경석호","정시현,이수진,이승현,이은미"
"남편만 몰라요",2015-07-07,2995000,2995000,601,601,20,20,"(주)큰손엔터테인먼트","(주)더그레이트컴퍼니","청소년관람불가","멜로/로맨스,코미디","고광현","최선미,황호상,문주연"
"착한 처제",2015-11-19,3723000,3723000,588,588,19,82,"쟈비스미디어,PK미디어크레이티브","쟈비스미디어","청소년관람불가","드라마","강훈","강성필,장혜영"
"맛2",2015-09-02,2852000,2852000,569,569,20,26,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","경석호","이은미,이은미"
"용주골",2015-11-19,2823000,2823000,562,562,20,65,"핵존슨","에이라인","청소년관람불가","드라마,멜로/로맨스","최우성","민도윤,이채담,진서현,이서현,김민호"
"잡아야 산다",2016-01-07,4648000,4648000,561,561,1,2,"더퀸디앤엠 주식회사","오퍼스픽쳐스(유)","15세이상관람가","코미디,액션","오인천","김승우,김정태,한상혁,신강우,김민규,문용석,오만석,최호중,이해준,조창근,윤다영,서범식,이한위,안길강,장현기,장훈남,박혜미,정구영,서경배,정인혜,손지훈,정혜연,조권수,강현우,윤진영,이동진,이민경,이상헌,이선미,이승연,김욱,김영,양도현"
"감금의 시간",2015-12-03,3310000,3310000,555,555,20,49,"마법사필름","마법사필름","청소년관람불가","스릴러,드라마","김대성","전유진,허동원,김윤재,이용주"
"색끈한 퓨전사극 심청야사",2015-12-17,3542000,3542000,551,551,20,85,"고구마콘텐츠허브(주)","고구마콘텐츠허브(주)","청소년관람불가","사극","강명진","박성현,이상무"
"고시원",2015-10-30,3380000,3380000,524,524,20,57,"에이치케이 이엔엠","(주)로이테미디어","청소년관람불가","멜로/로맨스,드라마","이영민","김승민,강민우,이명재,우서현,김용운,김한규,손경원"
"포장마차",2015-10-01,2617000,2617000,520,520,20,59,"㈜리필름","에이라인","청소년관람불가","코미디,멜로/로맨스","최율권희","이채담"
"새폴더2",2015-10-23,3352000,3352000,518,518,20,58,"더사람픽쳐스","더사람픽쳐스","청소년관람불가","드라마,코미디","황상원","윤설희,권현정,최한,김만석,양선혜"
"유부녀들",2015-10-14,3405000,3405000,516,516,20,46,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","경석호","김소현,김하늘,이언수"
"미션: 톱스타를 훔쳐라",2015-09-03,3157000,3157000,512,512,2,17,"(주)영화사희망","(주)드림팩트엔터테인먼트","청소년관람불가","액션,코미디,드라마","노병하","오창석,정헌,김주리,윤아민,한상준,진우진,박영준,박동빈,송지인,박태산,최제헌"
"불륜의 맛",2014-03-27,1950000,1950000,494,494,5,23,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","이세일","김지원,이민우"
"마지막 위안부",2015-08-03,4172000,4172000,490,490,1,3,"(주)투윈미디어","(주)투윈미디어","15세이상관람가","드라마","임선","한가영,김미영,레이,심호성,권성영,송유진,최혜주,이소리,이유진"
"애인",2015-06-17,2594000,2594000,485,485,20,48,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이숭환","문주연,최준열"
"수상한 미용실",2015-10-28,2403000,2403000,474,474,20,24,"주식회사 비엠미디어","주식회사 비엠미디어","청소년관람불가","멜로/로맨스","한동호","이채담,이흥재,김지은,김지수"
"음란한 가족",2015-09-24,2301000,2301000,473,473,21,21,"(주)KW비젼","(주)KW비젼","청소년관람불가","코미디,드라마,가족","신정균","한수아,김솔,김영민,김강일,백익남"
"란제리살인사건",2015-09-17,2295000,2295000,472,472,20,20,"(주)노리픽쳐스","(주)노리픽쳐스","청소년관람불가","스릴러","김세성","권민중,원기준,한창혁,김선주,이규창,김영희,김정석,김정훈,김병춘"
"맛있는 덫-정사",2015-09-30,2227000,2227000,426,426,20,35,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","신정균","한수연,유석환,김지연,박지연"
"모텔",2015-11-10,2182000,2182000,420,420,20,32,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,스릴러,미스터리","이숭환","이은미"
"위험한 섹스",2015-09-23,2249000,2249000,419,419,20,28,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,스릴러","이숭환","최정아,김상우"
"핫섹토크",2015-11-03,2143000,2143000,411,411,20,31,"(주)케이알씨지","(유)조이앤컨텐츠그룹","청소년관람불가","멜로/로맨스","이전","앤,박윤식"
"정사: 위험한 성적유희",2014-11-27,1754000,1754000,405,405,4,15,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민환","백인권,김시언"
"한양 기방 춘향뎐",2015-11-26,2085000,2085000,400,400,20,31,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,사극","김민욱","나영,주영"
"은밀한 방문자",2015-09-16,2091000,2091000,397,397,19,24,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,스릴러","윤여창","박재훈,곽지은,손재헌"
"조선안방 스캔들-칠거지악",2015-09-15,2077000,2077000,394,394,20,20,"(주)스넵쏘울","(주)케이알씨지","청소년관람불가","멜로/로맨스","이전","은민,최경일"
"위험한 중독",2015-12-24,2117000,2117000,388,388,20,21,"㈜리필름","(주)블루브릭","청소년관람불가","드라마","최율권희","고원,황지후,류한홍"
"한양기방 명기전",2015-12-30,2048000,2048000,383,383,20,25,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","김민욱","나영"
"은밀하게 음란하게",2014-04-10,1160000,1160000,372,372,5,24,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이세일","백세리,이경민"
"호두까기 인형",2014-12-07,1488000,1488000,372,372,1,6,"(주)패뷸러스","(주)패뷸러스","전체관람가","공연","정성복",""
"외출",2015-06-11,2090000,2090000,371,371,20,26,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","기대호","정서윤,전현수"
"맛있는 정사: 오피스 와이프",2015-11-17,1929000,1929000,368,368,20,28,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","김학묵","박태산,김수현,김태환,김현태"
"조선안방 스캔들-칠거지악2",2015-10-22,1922000,1922000,368,368,20,28,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","이숭환","은경,최경일,이미경"
"아내의 애인",2015-10-08,2123000,2123000,363,363,20,37,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","소영환","김태정,이현성,장지현"
"친구엄마",2015-11-12,2057000,2057000,359,359,20,42,"밀크픽처스","노바엔터테인먼트","청소년관람불가","멜로/로맨스,드라마","공자관","김영삼,아리,김해진,이승용,안광연,명지훈"
"엄마친구",2015-08-20,1771000,1771000,355,355,19,25,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","명석환","허예창,희우"
"나가요 미스콜",2014-03-13,2018000,2018000,338,338,4,5,"스카이동","노바엔터테인먼트","청소년관람불가","멜로/로맨스,코미디","한동호","한규리,유선영,민송아,손지완,주성용,이승우,김민혁,김용덕"
"설국열차",2013-08-01,2147700,67012235200,330,9350323,1,35,"(주)모호필름,오퍼스픽쳐스(유)","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬"
"화창한 그날들",2014-03-14,2030000,2030000,310,310,2,4,"비에이치제이 시네마","(주)씨네로닷컴","청소년관람불가","스릴러","방현준","김동하,우혜진,이미애,서종철,임채정,김경애,홍유리,김동수,김용덕,김유영,김정민"
"환타스틱 러브짐: 전쟁 같은 사랑",2015-10-08,1575000,1575000,303,303,20,23,"웃기시네","(주)유비네트워크","청소년관람불가","코미디","한우진","안홍진,곽정화,이수정,박가을,서지현,서성희"
"다이빙벨: 진실은 침몰하지 않습니다",2015-04-16,2209000,2209000,300,300,4,58,"아시아프레스,(주)씨네포트","(주)시네마달","15세이상관람가","다큐멘터리","이상호,안해룡",""
"스피릿 오브 베토벤",2014-12-10,1164000,1164000,291,291,1,6,"(주)한경아르떼","(주)한경아르떼","전체관람가","공연","남평희",""
"전원일기: 젖소농장새댁",2015-12-15,1407000,1407000,274,274,20,20,"주식회사 비엠미디어","주식회사 비엠미디어","청소년관람불가","멜로/로맨스","한동호","신건석,임송이,김경택,김현정,이흥재"
"공즉시색",2015-11-26,1478000,1478000,271,271,20,28,"(주)영화사 사계절,펀펀한영화사","(주)영화사 사계절","청소년관람불가","멜로/로맨스","김현빈","김화연,지은서,박초현,방협,태원석,최민지,김진열,변주영,송상섭,오순환,이아름,장은정"
"명기",2014-12-30,690000,690000,247,247,5,12,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","강현","김민영,이상훈,김민채,김민채,손영민"
"몽정애-꿈 속의 여인",2013-12-31,960000,1e+06,240,250,5,13,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","이영화","이민우,윤보리,신영웅,유세미,성윤아"
"두 번째 엄마",2014-12-31,1010000,1010000,239,239,3,13,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","이민환","윤설희"
"스파이",2013-09-05,3100000,24512378305,210,3436012,1,8,"(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구,문소리,다니엘 헤니,고창석,한예리,라미란,서승인,이대수,이성제,최승현,오대환,이무생,강석철,김종수,조영진,김소진,차순배,서현우,이나라,박지연,정인기,한이진,양도현,김송일"
"친절한 가정부",2015-02-26,1004000,1004000,166,166,4,5,"(주)블루아이엔터테인먼트,영화사 분홍신","(주)박수엔터테인먼트","청소년관람불가","코미디","노진수","홍서백,연송하,키시 아이노,박인수,강양길,박희순,조창호,차대섭,변병준,최유정,이세종"
"베를린",2013-01-30,966000,52356534637,163,7166453,2,5,"(주)외유내강,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","액션","류승완","하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익,배정남,곽진석,김서원"
"뽀로로 극장판 슈퍼썰매 대모험",2013-01-23,953000,6827594500,159,931501,1,28,"(주)오콘,중국오락문화투자유한회사","(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠","전체관람가","애니메이션","박영균","이선,이미자,김환진,함수정,홍소영,조현정,정미숙,강승훈,김남희,김은정,김정달,김태훈,노영란,박민교,박영수,박장호,윤창섭"
"연애의 온도",2013-03-21,1058000,13799922446,137,1865332,24,46,"(주)뱅가드스튜디오","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","멜로/로맨스,코미디","노덕","이민기,김민희,최무성,라미란,장영준,정여진,조치언,박명규,권유진,박병은,하연수,김강현,김자영,정종열"
"좋은 친구들",2013-03-28,945000,10654500,135,1393,1,41,"주니파워픽처스(주),판타지웍스엔터","(주)마인스 엔터테인먼트","청소년관람불가","액션","진형태","연정훈,이지훈,키타무라 카즈키,최정원,김영훈,이찬영,구필우,성혁"
"마이너클럽",2014-11-25,1170000,1170000,130,130,1,7,"(주)영화사얼굴","(주)버킷스튜디오","청소년관람불가","멜로/로맨스,액션","이원우","서영,이슬이,이완희,장정환,황수환,김도희,김민수,김아정,김형진,노은지,송유진,심영은"
"힐링메이트",2014-11-12,1106000,1106000,130,130,1,8,"(주)스크린다","(주)버킷스튜디오","청소년관람불가","드라마","신종걸","이유리,이홍선,김미진"
"슬픈남자",2015-12-10,749000,749000,109,109,1,13,"비에이치제이 시네마","비에이치제이 시네마","청소년관람불가","액션","방현준","고민우,서종철,이제관,소선,이종옥,이창균,정환종,천성운,현정민,김정민,이양희"
"마이 리틀 히어로",2013-01-09,6e+05,1303507128,100,186078,1,1,"굿초이스컷픽쳐스(주)","(주)씨제이이엔엠","전체관람가","드라마","김성훈","김래원,지대한,이성민,조안,이광수,이청미,이효선,조선아,최지연,김원해,이해영,이민아,김강일,강두,김성은,홍인"
"유신의 미학",2015-12-16,739000,739000,93,93,1,3,"마그넷 엔터테인먼터","마그넷 엔터테인먼터","15세이상관람가","드라마","김노경","김효비,박상현"
"이불",2014-12-30,736000,736000,92,92,1,1,"(주)대양미디어","(주)대양미디어","청소년관람불가","코미디,멜로/로맨스","김한준","정인슬,성인석,박정아,권기수,김대현,박시현,이채린,황의범,우혜진"
"배우는 배우다",2013-10-24,642000,811844000,81,112029,1,2,"(주) 루스이소니도스,(주)김기덕 필름","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","신연식","이준,서영희,강신효,서범석,이화시,기주봉,오광록,마동석,양동근,김형준,손용화,신연식,안상우,윤승준,이세희,고승효,임효정,장채린,정장환,김태은,조소현,최한철,한명수,박귀현,이유미,이유준,이빛나,강덕중,정성일"
"한민족 그리고 조선족",2014-12-10,568000,568000,71,71,1,1,"한국YWCA연합회,크리에이티브컴즈(주)","크리에이티브컴즈(주)","전체관람가","다큐멘터리","전화성","유은조"
"러브멘토",2014-04-17,270000,270000,54,54,1,1,"스카이동","(주)나우콘텐츠","청소년관람불가","멜로/로맨스","신혜성","유재근,앨리스홍"
"베드(감독판)",2015-03-12,270000,270000,54,54,1,1,"씨네힐","주식회사 마운틴픽쳐스","청소년관람불가","멜로/로맨스,드라마","박철수","장혁진,이민아,김나미"
"비밀: 아내의 남자",2015-02-04,270000,270000,54,54,1,1,"굿픽처스","(주)나우콘텐츠","청소년관람불가","드라마,스릴러","이상화","장하람,양정모"
"외계인들",2014-12-31,270000,270000,54,54,1,1,"한손필름","(주)엘케이픽쳐스","15세이상관람가","코미디,미스터리,SF","김한규,손병희","김한규,김진희,한기중,김한규,김진희,손병희,정범모,한유진"
"원죄적 정사 2014",2014-08-13,270000,270000,54,54,1,1,"주식회사 이엔터","주식회사 이엔터","청소년관람불가","멜로/로맨스,스릴러","소팔석","이리나"
"폭풍정사",2015-07-29,270000,270000,54,54,1,1,"(주)대양미디어","위드 라이언 픽쳐스","청소년관람불가","멜로/로맨스","국영수","채린,신상록,한상호"
"원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR",2013-10-31,355000,91107500,45,8083,1,2,"케이비에스미디어(주),(주)와이지엔터테인먼트","골든타이드픽처스(주)","전체관람가","공연","손석,정치영","권지용"
"터치 바이 터치",2015-04-30,2e+05,2e+05,40,40,1,1,"(주)인피니티엔터테인먼트","나이스플레이(주)","청소년관람불가","멜로/로맨스","김호준","하나경,구지성,김진호,손희순"
"화이: 괴물을 삼킨 아이",2013-10-09,271000,17695683795,34,2394487,1,2,"나우필름(주),파인하우스필름(주),(주)쇼박스","(주)쇼박스","청소년관람불가","액션,스릴러","장준환","여진구,김윤석,조진웅,장현성,김성균,박해준,임지은,남지현,설우신,이성,이태종,한진,홍준표,유연석,이준혁,박진우,한주완,서영화,이진성,장인섭,손강국,이승용,김근영,이유미,박경혜,권은수,박용우,박성준,김영민,한이진,신정섭,김종태"
"거짓말 섹스가 좋아2",2013-12-24,80000,2980000,20,4490,1,2,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","진달래","강수지,윤상두"
"라이브 TV",2015-10-01,128000,128000,15,15,1,5,"(주)파레토웍스,더컨텐츠콤(주)","더컨텐츠콤(주)","청소년관람불가","공포(호러)","김선웅,손광수","연제욱,고은아,홍의정,최성호,정인수,정은재,임정예,김선간,이정석,이강규,유승완,김민혜,박은성,박혜정"
"무서운 이야기 2",2013-06-05,1e+05,3393767500,13,495535,1,2,"(주)수필름,데이지엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","미스터리,공포(호러)","김성호,김휘,정범식,민규동","박성웅,우혜진,이세영,성준,이수혁,백진희,김슬기,정인선,고경표,김지원"
"거짓말 섹스가 좋아",2013-07-04,5000,55000,10,35,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스,드라마","이세일","김지원,조동혁,이동준"
"미조-못다한이야기(감독판)",2015-02-12,70000,70000,10,10,1,1,"진이엔터테인먼트,주식회사 마운틴픽쳐스,영화사 민들레","주식회사 마운틴픽쳐스","청소년관람불가","드라마","남기웅","윤동환,이효"
"연애의 기술",2013-10-30,5000,64887000,10,8923,1,1,"㈜리필름,(유)조이앤컨텐츠그룹","(주)팝엔터테인먼트","청소년관람불가","멜로/로맨스,코미디","이수성","홍수아,서지석,한수아,주아성,성지영,송윤아,오승진,이진솔,김명곤,이종우"
"착한여자 (무삭제)",2015-07-14,50000,50000,10,10,1,1,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","경석호","김정연,주연서"
"파파로티",2013-03-14,90000,11826024000,9,1716438,1,2,"케이엠컬쳐㈜","(주)쇼박스","15세이상관람가","드라마","윤종찬","한석규,이제훈,오달수,조진웅,강소라,이재용,채성원,홍준표,송원종,배성우,차종호,성유빈,이유준,정민성,김지석,이상훈,오창경,이상협"
"타부 : 금지된 사랑",2015-09-03,72000,72000,8,8,1,1,"(주)대양미디어","(주)대양미디어","청소년관람불가","멜로/로맨스","고구마","박은정,한진아"
"7번방의 선물",2013-01-23,36000,91431950670,7,12811213,1,2,"(주)화인웍스,(주)씨엘엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진"
"가자! 장미여관으로 3 - 방황 무삭제 감독판",2015-01-15,28000,28000,4,4,2,2,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","김봉은","서연주"
"두 번째 엄마 무삭제판",2015-03-12,28000,28000,4,4,1,2,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민환","윤설희"
"정사: 위험한 성적 유희 무삭제판",2015-01-29,28000,28000,4,4,2,2,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민환","백인권,김시언"
"소원",2013-10-02,18000,18529880600,3,2711086,1,1,"(주)필름모멘텀","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익","설경구,엄지원,이레,김해숙,김상호,라미란,양진성,이승택,하진,조복래,안세하,서현우,권태원,강신철,김미경,정민성"
"숨바꼭질",2013-08-14,18000,39602995500,3,5604106,1,2,"(주)드림캡쳐","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈,주석태,정민성,김혜윤,김자영"
"나는 야한 여자가 좋다 2 무삭제감독판",2015-02-12,14000,14000,2,2,1,1,"드림로드","(주)케이알씨지","청소년관람불가","멜로/로맨스","김봉은","배건식"
"나는 야한 여자가 좋다 무삭제감독판",2015-02-26,14000,14000,2,2,1,1,"드림로드","(주)케이알씨지","청소년관람불가","멜로/로맨스","신정균","김태한,앨리스홍"
"남편만 몰라요 (무삭제)",2015-09-30,16000,16000,2,2,1,2,"(주)큰손엔터테인먼트","(주)더그레이트컴퍼니","청소년관람불가","멜로/로맨스,코미디","고광현","최선미,황호상"
"울언니: 성상납의 비밀 무삭제판",2015-03-11,14000,14000,2,2,1,1,"(주)제이록스 필름","(주)팝엔터테인먼트","청소년관람불가","스릴러,드라마","이제락","오광록,지성원"
"공사중",2015-04-08,9000,9000,1,1,1,1,"(주)마부엔터테인먼트","고구마콘텐츠허브(주)","청소년관람불가","멜로/로맨스,코미디","강명진","성은,김호창,라리사,최한빛,문예신,이장섭,서창환"
"나는 야한 여자가 좋다 3 무삭제감독판",2015-07-09,5000,5000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","김미연","강필선,손가람"
"나쁜 수업",2015-09-15,5000,5000,1,1,1,1,"주식회사 비엠미디어","주식회사 비엠미디어","청소년관람불가","드라마","한동호","윤설희,손지완,이원하,김보현,김준희,김지민,김현정"
"동창회의 목적(무삭제)",2015-11-19,8000,8000,1,1,1,1,"펀펀한영화사","펀펀한영화사","청소년관람불가","멜로/로맨스","정대만","조인우,김유연,김시진,김은비,송창현,이현성"
"따라지: 비열한 거리 무삭제판",2015-11-12,4000,4000,1,1,1,1,"디에스미디어,(주)영화사골든오션","(주)드림팩트엔터테인먼트","청소년관람불가","멜로/로맨스,드라마","신동엽","고세원,한이서,조한선"
"러브앤서울 복숭아마을 도색소동기 무삭제판",2015-11-19,4000,4000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","조조 히데오","나나우미 나나"
"명기(무삭제)",2015-05-07,8000,8000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,코미디","강현","김민영,이상훈"
"미궁: 비밀애 무삭제 특별판",2015-07-02,5000,5000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","조조 히데오","김민기"
"보리의 은밀한 사생활",2015-09-10,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","제임스 리","보리,신영웅"
"뽕2014(무삭제)",2015-04-23,8000,8000,1,1,1,1,"밀크픽처스","밀크픽처스","청소년관람불가","멜로/로맨스","공자관","김연수"
"사랑에도 저작권이 있나요?",2015-05-21,8000,8000,1,1,1,1,"골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","코미디","최경진","최재환,왕빛나,백재호,김미지,김기연,이규형,박명신,권범택,지찬"
"어우동: 주인 없는 꽃 무삭제판",2015-06-24,5000,5000,1,1,1,1,"(유)조이앤컨텐츠그룹,㈜리필름","(주)드림팩트엔터테인먼트","청소년관람불가","멜로/로맨스","이수성","백도빈,송은채,여욱환,남경읍"
"엄마친구(무삭제판)",2015-11-12,8000,8000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스,드라마","명석환","허예창,희우"
"외출 무삭제",2015-09-09,8000,8000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","기대호","정서윤"
"젊은 엄마 2",2014-05-29,8000,8000,1,1,1,1,"골든타이드픽처스(주)","골든타이드픽처스(주)","청소년관람불가","드라마,멜로/로맨스,판타지","노성수","차순형,소윤,이하루,예린,김진래,김진호"
"태양을 쏴라 무삭제판",2015-07-09,5000,5000,1,1,1,1,"필름라인","(유)조이앤시네마","청소년관람불가","멜로/로맨스","김태식","강지환,윤진서,박정민"
"포장마차-무삭제판",2015-11-11,5000,5000,1,1,1,1,"㈜리필름","에이라인","청소년관람불가","코미디,멜로/로맨스","최율권희","이채담"
"픽업 아티스트",2014-08-28,8000,8000,1,1,1,1,"자작나무영화사","골든타이드픽처스(주)","청소년관람불가","코미디,멜로/로맨스","전도한","김대우,한제인,탁호연,최호중,박용범,박정헌,박정호,우경진,최동호,권혁진,한윤희,이아람,이영재,이지민,김민범,김수현,김은지,김정,김혜원,김홍갑,정애화,신정섭"
"하숙집 무삭제",2015-09-09,8000,8000,1,1,1,1,"영화사 인연","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","경석호","권기하,장하람"
