순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
85,3인조,1997-05-24,120000,0,120000,20,20,1,4,한국,한국,(주)씨네이천,,연소자관람불가,"액션,코미디",박찬욱,"이경영,김민종,정선경,도금봉,김부선,김성미,이인철,이기열,안길강"
86,영매-산자와 죽은자의 화해,2003-09-05,56000,0,56000,14,14,1,3,한국,한국,(주)엠엔에프씨,(주)엠엔에프씨,12세관람가,다큐멘터리,박기복,"설경구,박영자,채정례,채둔굴,김두남,박진섭,이해경"
87,살인의 추억,2003-04-25,13000,0,13000,13,13,1,1,한국,한국,(주)싸이더스,CJ ENM,15세관람가,스릴러,봉준호,"송강호,김상경,김뢰하,정인선,한충환,김효성,이강산,김민철,최현기,심성보,김희진,한성근,서민수,김경래,강진희,이상욱,윤박지,박상우,박소현,김철용,김영관,류태호,박노식,박진우,변희봉,서영화,신현종,조덕제,이재응,유승목,손진호,신동환,최종률,손강국,박현영,권병길,신문성,염혜란,전미선,최교식,곽수정,천명재,이옥주"
88,로드무비,2002-10-17,70000,0,70000,10,10,1,5,한국,한국,(주)싸이더스,"(주)시네마서비스,영화사청어람(주)",18세관람가,드라마,김인식,"황정민,정찬,서린,최현석,박경환,김윤미,정석원,김광태,정석원,이재응,한기중,손진호,김기천"
89,킬러들의 수다,2001-10-12,35000,0,35000,7,7,1,2,한국,한국,(주)시네마서비스,(주)시네마서비스,15세관람가,코미디,장진,"정진영,원빈,신현준,정재영,신하균,공효진,김민교,김준석,김지영,호산,김형중,한용수,민윤정,류승범,양동재,김영웅,이정환,조덕현,김학철,윤주상"
90,수취인불명,2001-06-02,10000,0,10000,2,2,1,1,한국,한국,"(주)엘제이필름,(주)김기덕 필름",(주)튜브엔터테인먼트,18세관람가,드라마,김기덕,"조재현,김영민,김진만,양동근,반민정,나혜미,김상원,전성애,이민옥,이흥욱,권남희,김정호,김준용,오정세"
91,공공의 적,2002-01-24,6500,0,6500,1,1,1,1,한국,한국,(주)시네마서비스,(주)시네마서비스,18세관람가,"범죄,액션",강우석,"설경구,이성재,강신일,안내상,이문식,성지루,유해진,허명행,조규성,조영민,조용수,김병인,금종택,서범식,명영호,김다은,김경은,서지오,전재홍,정기성,양재성,이충희,안석환,기주봉,윤문식,김강일,이도겸,권병길,이칸희,권태원,김경룡"
91,공동경비구역 JSA,2000-09-08,6000,0,6000,1,1,1,2,한국,한국,(주)명필름,CJ ENM,15세관람가,"드라마,미스터리",박찬욱,"송강호,이병헌,이영애,신하균,김태우,김광일,이종용,이대연,김명수,이한위,기주봉,원근희"
93,천년호,2003-11-28,0,0,159310500,0,25292,1,4,한국,한국,한맥영화(주),(주)시네마서비스,15세관람가,"멜로/로맨스,액션,판타지",이광훈,"정준호,김효진,김혜리,최원석,강신일,박동빈"
93,클래식,2003-01-30,0,0,0,0,0,1,2,한국,한국,(주)에그필름,(주)시네마서비스,12세관람가,드라마,곽재용,"손예진,조승우,조인성,이기우,서영희,김미진,이성훈,추현경,송윤회,신승수,한규태,김병옥,한정근,김성증,이서,이승철,이주열,안호완"
93,플라스틱 트리,2003-08-29,0,0,0,0,0,1,1,한국,한국,알지프린스필름(주),무비즈엔터테인먼트㈜,18세관람가,스릴러,어일선,"김인권,조은숙,김정현,김무진,김윤식,박정호,박주복,임헌표,변두환,강지은,박성호,김영태,김도영"
합계,,,239143250406,,242670351406,37741433,38291573,5737,605901,,,,,,,,
